Fecha de solicitud;Número de ampliaciones;Año;Semana;Semana-Año
2019-01-20;104;2019;3;2019-W03
2019-01-27;3;2019;4;2019-W03
2019-02-03;63;2019;5;2019-W03
2019-02-10;23;2019;6;2019-W03
2019-02-24;66;2019;8;2019-W03
2019-03-03;26;2019;9;2019-W03
2019-03-10;21;2019;10;2019-W03
2019-03-17;47;2019;11;2019-W03
2019-03-24;38;2019;12;2019-W03
2019-03-31;68;2019;13;2019-W04
2019-04-07;63;2019;14;2019-W04
2019-04-14;1;2019;15;2019-W04
2019-04-21;1;2019;16;2019-W05
2019-04-28;103;2019;17;2019-W05
2019-05-05;1;2019;18;2019-W05
2019-05-12;62;2019;19;2019-W05
2019-05-19;23;2019;20;2019-W05
2019-05-26;34;2019;21;2019-W05
2019-06-02;67;2019;22;2019-W05
2019-06-09;44;2019;23;2019-W05
2019-06-16;40;2019;24;2019-W05
2019-06-23;40;2019;25;2019-W05
2019-06-30;34;2019;26;2019-W05
2019-07-07;29;2019;27;2019-W05
2019-07-14;36;2019;28;2019-W06
2019-07-21;31;2019;29;2019-W06
2019-07-28;34;2019;30;2019-W06
2019-08-04;9;2019;31;2019-W06
2019-08-11;42;2019;32;2019-W06
2019-08-18;4;2019;33;2019-W06
2019-08-25;67;2019;34;2019-W06
2019-09-01;4;2019;35;2019-W07
2019-09-08;55;2019;36;2019-W07
2019-09-15;50;2019;37;2019-W07
2019-09-22;41;2019;38;2019-W07
2019-09-29;78;2019;39;2019-W07
2019-10-06;61;2019;40;2019-W07
2019-10-13;31;2019;41;2019-W07
2019-10-20;32;2019;42;2019-W07
2019-10-27;45;2019;43;2019-W07
2019-11-03;11;2019;44;2019-W07
2019-11-10;8;2019;45;2019-W07
2019-11-17;10;2019;46;2019-W07
2019-11-24;5;2019;47;2019-W07
2019-12-01;11;2019;48;2019-W07
2019-12-08;7;2019;49;2019-W07
2019-12-15;13;2019;50;2019-W08
2019-12-22;6;2019;51;2019-W08
2019-12-29;3;2019;52;2019-W08
2020-01-05;0;2020;1;2020-W08
2020-01-12;7;2020;2;2020-W08
2020-01-19;4;2020;3;2020-W08
2020-01-26;12;2020;4;2020-W08
2020-02-02;10;2020;5;2020-W08
2020-02-09;10;2020;6;2020-W08
2020-02-16;6;2020;7;2020-W09
2020-02-23;9;2020;8;2020-W09
2020-03-01;13;2020;9;2020-W09
2020-03-08;7;2020;10;2020-W09
2020-03-15;10;2020;11;2020-W09
2020-03-22;9;2020;12;2020-W09
2020-03-29;4;2020;13;2020-W09
2020-04-05;6;2020;14;2020-W09
2020-04-12;1;2020;15;2020-W09
2020-04-19;9;2020;16;2020-W10
2020-04-26;6;2020;17;2020-W10
2020-05-03;9;2020;18;2020-W10
2020-05-10;7;2020;19;2020-W10
2020-05-17;8;2020;20;2020-W10
2020-05-24;8;2020;21;2020-W10
2020-05-31;12;2020;22;2020-W10
2020-06-07;16;2020;23;2020-W10
2020-06-14;5;2020;24;2020-W10
2020-06-21;17;2020;25;2020-W10
2020-06-28;22;2020;26;2020-W11
2020-07-05;8;2020;27;2020-W11
2020-07-12;36;2020;28;2020-W11
2020-07-19;16;2020;29;2020-W11
2020-07-26;20;2020;30;2020-W11
2020-08-02;23;2020;31;2020-W11
2020-08-09;16;2020;32;2020-W11
2020-08-16;24;2020;33;2020-W11
2020-08-23;17;2020;34;2020-W11
2020-08-30;25;2020;35;2020-W11
2020-09-06;18;2020;36;2020-W11
2020-09-13;16;2020;37;2020-W12
2020-09-20;20;2020;38;2020-W12
2020-09-27;32;2020;39;2020-W12
2020-10-04;17;2020;40;2020-W12
2020-10-11;20;2020;41;2020-W12
2020-10-18;33;2020;42;2020-W12
2020-10-25;12;2020;43;2020-W12
2020-11-01;32;2020;44;2020-W12
2020-11-08;10;2020;45;2020-W12
2020-11-15;28;2020;46;2020-W12
2020-11-22;26;2020;47;2020-W13
2020-11-29;17;2020;48;2020-W13
2020-12-06;17;2020;49;2020-W13
2020-12-13;16;2020;50;2020-W13
2020-12-20;22;2020;51;2020-W13
2020-12-27;19;2020;52;2020-W13
2021-01-03;11;2021;53;2021-W13
2021-01-10;19;2021;1;2021-W13
2021-01-17;10;2021;2;2021-W13
2021-01-24;14;2021;3;2021-W13
2021-01-31;17;2021;4;2021-W13
2021-02-07;21;2021;5;2021-W14
2021-02-14;12;2021;6;2021-W14
2021-02-21;18;2021;7;2021-W14
2021-02-28;20;2021;8;2021-W14
2021-03-07;18;2021;9;2021-W14
2021-03-14;14;2021;10;2021-W14
2021-03-21;17;2021;11;2021-W14
2021-03-28;17;2021;12;2021-W14
2021-04-04;15;2021;13;2021-W14
2021-04-11;33;2021;14;2021-W15
2021-04-18;35;2021;15;2021-W16
2021-04-25;30;2021;16;2021-W17
2021-05-02;40;2021;17;2021-W17
2021-05-09;34;2021;18;2021-W17
2021-05-16;31;2021;19;2021-W17
2021-05-23;29;2021;20;2021-W17
2021-05-30;28;2021;21;2021-W17
2021-06-06;20;2021;22;2021-W17
2021-06-13;17;2021;23;2021-W17
2021-06-20;23;2021;24;2021-W17
2021-06-27;10;2021;25;2021-W17
2021-07-04;10;2021;26;2021-W17
2021-07-11;22;2021;27;2021-W17
2021-07-18;26;2021;28;2021-W17
2021-07-25;15;2021;29;2021-W17
2021-08-01;10;2021;30;2021-W17
2021-08-08;26;2021;31;2021-W17
2021-08-15;24;2021;32;2021-W17
2021-08-22;25;2021;33;2021-W17
2021-08-29;25;2021;34;2021-W17
2021-09-05;40;2021;35;2021-W17
2021-09-12;34;2021;36;2021-W17
2021-09-19;35;2021;37;2021-W18
2021-09-26;27;2021;38;2021-W19
2021-10-03;12;2021;39;2021-W19
2021-10-10;34;2021;40;2021-W19
2021-10-17;16;2021;41;2021-W19
2021-10-24;18;2021;42;2021-W19
2021-10-31;12;2021;43;2021-W19
2021-11-07;19;2021;44;2021-W19
2021-11-14;20;2021;45;2021-W19
2021-11-21;22;2021;46;2021-W19
2021-11-28;10;2021;47;2021-W19
2021-12-05;22;2021;48;2021-W19
2021-12-12;20;2021;49;2021-W20
2021-12-19;18;2021;50;2021-W20
2021-12-26;19;2021;51;2021-W20
2022-01-02;20;2022;52;2022-W20
2022-01-09;20;2022;1;2022-W20
2022-01-16;24;2022;2;2022-W21
2022-01-23;20;2022;3;2022-W21
2022-01-30;18;2022;4;2022-W21
2022-02-06;20;2022;5;2022-W21
2022-02-13;20;2022;6;2022-W21
2022-02-20;20;2022;7;2022-W21
2022-02-27;23;2022;8;2022-W21
2022-03-06;22;2022;9;2022-W21
2022-03-13;25;2022;10;2022-W22
2022-03-20;19;2022;11;2022-W22
2022-03-27;18;2022;12;2022-W22
2022-04-03;22;2022;13;2022-W22
2022-04-10;17;2022;14;2022-W22
2022-04-17;19;2022;15;2022-W22
2022-04-24;13;2022;16;2022-W22
2022-05-01;21;2022;17;2022-W22
2022-05-08;18;2022;18;2022-W22
2022-05-15;22;2022;19;2022-W22
2022-05-22;19;2022;20;2022-W22
2022-05-29;19;2022;21;2022-W23
2022-06-05;19;2022;22;2022-W23
2022-06-12;20;2022;23;2022-W23
2022-06-19;16;2022;24;2022-W23
2022-06-26;22;2022;25;2022-W23
2022-07-03;18;2022;26;2022-W23
2022-07-10;12;2022;27;2022-W23
2022-07-17;15;2022;28;2022-W23
2022-07-24;16;2022;29;2022-W23
2022-07-31;16;2022;30;2022-W23
2022-08-07;16;2022;31;2022-W24
2022-08-14;13;2022;32;2022-W24
2022-08-21;13;2022;33;2022-W24
2022-08-28;16;2022;34;2022-W24
2022-09-04;22;2022;35;2022-W24
2022-09-11;20;2022;36;2022-W24
2022-09-18;16;2022;37;2022-W24
2022-09-25;22;2022;38;2022-W24
2022-10-02;47;2022;39;2022-W24
2022-10-09;44;2022;40;2022-W24
2022-10-16;49;2022;41;2022-W24
2022-10-23;36;2022;42;2022-W25
2022-10-30;20;2022;43;2022-W25
2022-11-06;15;2022;44;2022-W25
2022-11-13;47;2022;45;2022-W25
2022-11-20;54;2022;46;2022-W25
2022-11-27;43;2022;47;2022-W25
2022-12-04;39;2022;48;2022-W25
2022-12-11;38;2022;49;2022-W25
2022-12-18;30;2022;50;2022-W25
2022-12-25;45;2022;51;2022-W26
2023-01-01;44;2023;52;2023-W26
2023-01-08;45;2023;1;2023-W26
2023-01-15;56;2023;2;2023-W26
2023-01-22;59;2023;3;2023-W26
2023-01-29;69;2023;4;2023-W26
2023-02-05;80;2023;5;2023-W26
2023-02-12;86;2023;6;2023-W26
2023-02-19;100;2023;7;2023-W26
2023-02-26;98;2023;8;2023-W27
2023-03-05;99;2023;9;2023-W27
2023-03-12;96;2023;10;2023-W27
2023-03-19;52;2023;11;2023-W27
2023-03-26;54;2023;12;2023-W27
2023-04-02;43;2023;13;2023-W27
2023-04-09;62;2023;14;2023-W27
2023-04-16;62;2023;15;2023-W27
2023-04-23;52;2023;16;2023-W27
2023-04-30;57;2023;17;2023-W27
2023-05-07;45;2023;18;2023-W27
2023-05-14;59;2023;19;2023-W28
2023-05-21;60;2023;20;2023-W28
2023-05-28;58;2023;21;2023-W28
2023-06-04;57;2023;22;2023-W28
2023-06-11;46;2023;23;2023-W28
2023-06-18;76;2023;24;2023-W28
2023-06-25;79;2023;25;2023-W28
2023-07-02;66;2023;26;2023-W28
2023-07-09;66;2023;27;2023-W29
2023-07-16;56;2023;28;2023-W29
2023-07-23;28;2023;29;2023-W29
2023-07-30;48;2023;30;2023-W29
2023-08-06;52;2023;31;2023-W29
2023-08-13;43;2023;32;2023-W29
2023-08-20;49;2023;33;2023-W29
2023-08-27;51;2023;34;2023-W29
2023-09-03;47;2023;35;2023-W30
2023-09-10;51;2023;36;2023-W30
2023-09-17;51;2023;37;2023-W30
2023-09-24;62;2023;38;2023-W30
2023-10-01;55;2023;39;2023-W30
2023-10-08;56;2023;40;2023-W30
2023-10-15;62;2023;41;2023-W30
2023-10-22;56;2023;42;2023-W30
2023-10-29;60;2023;43;2023-W30
2023-11-05;59;2023;44;2023-W31
2023-11-12;51;2023;45;2023-W31
2023-11-19;68;2023;46;2023-W31
2023-11-26;64;2023;47;2023-W31
2023-12-03;66;2023;48;2023-W31
2023-12-10;61;2023;49;2023-W32
2023-12-17;39;2023;50;2023-W32
2023-12-24;43;2023;51;2023-W32
2023-12-31;45;2023;52;2023-W32
2024-01-07;53;2024;1;2024-W32
2024-01-14;52;2024;2;2024-W32
2024-01-21;53;2024;3;2024-W32
2024-01-28;51;2024;4;2024-W32
2024-02-04;68;2024;5;2024-W32
2024-02-11;65;2024;6;2024-W32
2024-02-18;59;2024;7;2024-W32
2024-02-25;55;2024;8;2024-W32
2024-03-03;51;2024;9;2024-W32
2024-03-10;52;2024;10;2024-W32
2024-03-17;57;2024;11;2024-W33
2024-03-24;47;2024;12;2024-W33
2024-03-31;44;2024;13;2024-W33
2024-04-07;47;2024;14;2024-W33
2024-04-14;41;2024;15;2024-W34
2024-04-21;50;2024;16;2024-W34
2024-04-28;53;2024;17;2024-W34
2024-05-05;45;2024;18;2024-W34
2024-05-12;54;2024;19;2024-W34
2024-05-19;9;2024;20;2024-W34
2024-05-26;14;2024;21;2024-W34
2024-06-02;16;2024;22;2024-W34
2024-06-09;16;2024;23;2024-W34
2024-06-16;9;2024;24;2024-W34
2024-06-23;13;2024;25;2024-W34
2024-06-30;10;2024;26;2024-W34
2024-07-07;13;2024;27;2024-W35
2024-07-14;14;2024;28;2024-W35
2024-07-21;11;2024;29;2024-W35
2024-07-28;13;2024;30;2024-W35
2024-08-04;13;2024;31;2024-W36
2024-08-11;13;2024;32;2024-W36
2024-08-18;7;2024;33;2024-W36
2024-08-25;14;2024;34;2024-W36
2024-09-01;12;2024;35;2024-W36
2024-09-08;8;2024;36;2024-W36
2024-09-15;20;2024;37;2024-W36
2024-09-22;21;2024;38;2024-W36
2024-09-29;21;2024;39;2024-W36
2024-10-06;16;2024;40;2024-W36
2024-10-13;24;2024;41;2024-W36
2024-10-20;19;2024;42;2024-W36
2024-10-27;19;2024;43;2024-W36
2024-11-03;18;2024;44;2024-W36
2024-11-10;19;2024;45;2024-W36
2024-11-17;21;2024;46;2024-W36
2024-11-24;16;2024;47;2024-W37
2024-12-01;17;2024;48;2024-W37
2024-12-08;15;2024;49;2024-W37
2024-12-15;14;2024;50;2024-W37
2024-12-22;18;2024;51;2024-W37
2024-12-29;13;2024;52;2024-W37
2025-01-05;14;2025;1;2025-W37
2025-01-12;24;2025;2;2025-W37
2025-01-19;36;2025;3;2025-W37
2025-01-26;41;2025;4;2025-W37
2025-02-02;48;2025;5;2025-W38
2025-02-09;49;2025;6;2025-W38
2025-02-16;67;2025;7;2025-W38
2025-02-23;42;2025;8;2025-W38
2025-03-02;61;2025;9;2025-W38
2025-03-09;49;2025;10;2025-W38
2025-03-16;69;2025;11;2025-W38
2025-03-23;57;2025;12;2025-W38
2025-03-30;56;2025;13;2025-W38
2025-04-06;43;2025;14;2025-W39
2025-04-13;51;2025;15;2025-W39
2025-04-20;25;2025;16;2025-W39
2025-04-27;32;2025;17;2025-W39
2025-05-04;34;2025;18;2025-W39
2025-05-11;50;2025;19;2025-W39
2025-05-18;49;2025;20;2025-W39
2025-05-25;50;2025;21;2025-W39
2025-06-01;34;2025;22;2025-W39
2025-06-08;43;2025;23;2025-W39
2025-06-15;30;2025;24;2025-W39
2025-06-22;41;2025;25;2025-W39
2025-06-29;42;2025;26;2025-W39
