Fecha de solicitud;N̼mero de ampliaciones
2024-07-07;21
2024-07-14;23
2024-07-21;20
2024-07-28;24
2024-08-04;26
2024-08-11;21
2024-08-18;23
2024-08-25;23
2024-09-01;22
2024-09-08;26
2024-09-15;23
2024-09-22;22
2024-09-29;24
2024-10-06;21
2024-10-13;22
2024-10-20;21
2024-10-27;24
2024-11-03;28
2024-11-10;31
2024-11-17;33
2024-11-24;21
2024-12-01;20
2024-12-08;20
2024-12-15;22
2024-12-22;29
2024-12-29;29
2025-01-05;40
2025-01-12;35
2025-01-19;39
2025-01-26;36
2025-02-02;48
2025-02-09;50
2025-02-16;50
2025-02-23;42
2025-03-02;36
2025-03-09;31
2025-03-16;29
2025-03-23;29
2025-03-30;34
2025-04-06;36
2025-04-13;39
2025-04-20;36
2025-04-27;35
2025-05-04;43
2025-05-11;31
2025-05-18;23
2025-05-25;23
2025-06-01;22
2025-06-08;20
2025-06-15;19
2025-06-22;19
2025-06-29;19
